Year,KenPom Rank,Team,CONF,Seed Number,AdjEM,AdjO,AdjD,AdjT,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM,POSTSEASON
2015,64,Valparaiso ,Horz,13,11.13,107.4,96.3,62.3,-2.06,104.2,106.3,-3.69,68
2015,30,VCU ,A10,7,16.27,111.1,94.9,66.5,6.65,107.9,101.2,8.77,32
2015,5,Villanova ,BE,1,30.65,122.7,92,64.2,7.67,108.2,100.6,0.23,1
2015,6,Virginia ,ACC,2,30.06,115.6,85.5,58,8.21,108.5,100.3,0.46,8
2015,25,West Virginia ,B12,5,17.64,112.6,94.9,67.9,9.56,108.9,99.3,-2.65,64
2015,13,Wichita St. ,MVC,7,22.21,115.8,93.6,62.3,3.24,105.5,102.3,3.44,32
2015,2,Wisconsin ,B10,1,33.72,129,95.2,58.7,11.03,109.8,98.8,5.3,16
2015,96,Wofford ,SC,12,6.72,105.2,98.5,60.5,-3.98,104,108,6.79,32
2015,109,Wyoming ,MWC,12,5.67,104.8,99.1,59.1,-1.04,103,104.1,-10.31,68
2015,21,Xavier ,BE,6,19.49,116.6,97.1,65,10.29,109.5,99.2,2.07,16
2016,19,Arizona ,P12,6,20.97,116.8,95.8,68.3,6.66,107.9,101.3,-3.66,64
2016,56,Arkansas Little Rock ,SB,12,13.24,109.2,96,63.4,-0.77,104.2,104.9,-0.2,32
2016,217,Austin Peay ,OVC,16,-5.1,104.5,109.6,69.5,-2.92,105.1,108,-0.19,64
2016,24,Baylor ,B12,5,19.06,118.9,99.8,66.6,11.21,109.7,98.4,-3.12,64
2016,138,Buffalo ,MAC,14,2.95,105.9,102.9,72.1,0.97,106.5,105.6,2,64
2016,30,Butler ,BE,9,17.27,118,100.7,67.9,8.1,108.5,100.4,-4.1,32
2016,110,Cal St. Bakersfield ,WAC,15,6.26,104,97.8,67.6,-6.5,100.6,107.1,-2.99,64
2016,28,California ,P12,4,18.32,112.5,94.2,68.1,7.65,109.4,101.8,-2.58,64
2016,109,Chattanooga ,SC,12,6.5,107.5,101,66.3,-3.18,104.4,107.6,-0.04,64
2016,32,Cincinnati ,Amer,9,17.06,111.2,94.1,64,5.2,107.3,102.1,-1.21,64
2016,57,Colorado ,P12,8,12.91,108.8,95.9,69,7.51,109.5,102,-2.15,64
2016,26,Connecticut ,Amer,9,18.71,111.9,93.2,65.9,6.17,107.6,101.4,-0.91,32
2016,59,Dayton ,A10,7,12.63,106.6,94,67.8,3.89,107.3,103.4,2.58,64
2016,17,Duke ,ACC,4,21.87,121.9,100,67.7,11.23,112,100.7,3.52,16
2016,280,Fairleigh Dickinson ,NEC,16,-10.63,104.4,115,71.5,-9.44,98.7,108.1,-0.17,68
2016,162,Florida Gulf Coast ,ASun,16,-0.08,103.6,103.7,67,-5.83,104.1,110,-1.87,64
2016,108,Fresno St. ,MWC,14,6.63,107.4,100.8,69,1.65,105.3,103.7,-2.89,64
2016,21,Gonzaga ,WCC,11,20.82,116.3,95.5,67.3,3.51,107.3,103.8,6.12,16
2016,127,Green Bay ,Horz,14,3.74,108.3,104.6,76.2,0.11,104.4,104.3,1.92,64
2016,248,Hampton ,MEAC,16,-7.4,99.8,107.2,71.2,-9.75,98.9,108.7,1.91,64
2016,60,Hawaii ,BW,13,12.16,108.2,96.1,70.6,-2.32,102.5,104.9,-8.92,32
2016,285,Holy Cross ,Pat,16,-11.39,97.1,108.5,63.6,-6.09,101.9,108,-6.27,64
2016,11,Indiana ,B10,5,23.05,121.7,98.7,68.2,6.4,108.8,102.4,-3.12,16
2016,104,Iona ,MAAC,13,7.13,110.5,103.4,71.9,-1.78,103.7,105.5,5.71,64
2016,23,Iowa ,B10,7,20.24,116.1,95.9,68.8,9.12,110.2,101.1,1.28,32
2016,20,Iowa St. ,B12,4,20.95,121.2,100.3,71.2,12.05,110.2,98.1,2.54,16
2016,3,Kansas ,B12,1,29.67,120,90.4,69,12.61,111.4,98.8,3.62,8
2016,6,Kentucky ,SEC,4,25.14,121.8,96.6,67.4,8.37,108.6,100.3,3.19,32
2016,22,Maryland ,B10,5,20.25,116.2,95.9,67.4,8.6,109.2,100.6,-1.86,16
2016,15,Miami FL ,ACC,3,22.44,119.4,96.9,65.9,11.67,111.6,99.9,2.63,16
2016,50,Michigan ,B10,11,14.15,114.6,100.5,65.8,8.96,110.1,101.1,-2.15,64
2016,5,Michigan St. ,B10,2,27.97,123.4,95.5,66.5,7.19,107.5,100.3,0.4,64
2016,119,Middle Tennessee ,CUSA,15,4.76,104.6,99.9,67.6,-0.58,105.5,106.1,2.11,32
2016,2,North Carolina ,ACC,1,29.82,124.4,94.6,70.5,11.45,111.7,100.2,3.13,2
2016,67,Northern Iowa ,MVC,11,11.13,109.6,98.5,62.9,4.8,106.1,101.3,7.57,32
2016,36,Notre Dame ,ACC,6,16.6,120.6,104,64.6,10.75,111.3,100.5,-1.64,8
2016,10,Oklahoma ,B12,2,23.78,117.9,94.1,69.8,13.05,111.5,98.5,2.7,4
2016,12,Oregon ,P12,1,22.68,119.1,96.4,68.1,9.06,109,100,1.04,8
2016,64,Oregon St. ,P12,7,11.65,110.7,99.1,67.1,9.61,109.8,100.2,0.46,64
2016,37,Pittsburgh ,ACC,10,16.6,114.9,98.3,65.3,9.06,110.8,101.7,-7.02,64
2016,44,Providence ,BE,9,14.49,110,95.5,68.4,8.93,109.5,100.6,-3.13,32
2016,9,Purdue ,B10,5,23.85,116.9,93.1,67.9,7.43,109.1,101.7,-2.67,64
2016,43,Saint Joseph's ,A10,8,15.37,114.3,98.9,70.2,4.66,107,102.3,1.97,32
2016,29,Seton Hall ,BE,6,18.27,111.1,92.9,69.7,8.55,108.5,100,-2.92,64
